Node arena:   524298 nodes, 0.0312506 GiB per memory server
Vector arena: 1000010 vectors, 0.298026 GiB per memory server -- caps writes at 500000 per client for the whole run
Experiment: << Workload: /users/adb321/disco-skip-artifacts/workloads/oops-workloadd-latest
timestamps:   clock (disciplined CLOCK_REALTIME)
cache:        on  offset-hint: on  async: 1  maxrange: 10  latency: on
Selected device: uverbs0
mlx4_0 uverbs0 NodeType::CA TransportType::IB
Binded successfully (port_id, port_lid) = (1, 68)
[CB:info] PD 'primary' registered
[CB:info] Buffer 'shared-buf' of size 3520 allocated
Client region: 3520 bytes
[CB:info] Mr 'shared-mr' under PD 'primary' registered with buf 'shared-buf' (offset: 0, length: 3520) and rights 15
[CB:info] Cq 'cq1' registered
[CB:info] Cq 'cq2' registered
[CB:info] Cq 'cq3' registered
[CB:info] Cq 'cq4' registered
[CE:info] Publishing qp qp-5-for-1
[CE:info] Publishing qp qp-5-for-2
[CE:info] Publishing qp qp-5-for-3
[CE:info] Publishing qp qp-5-for-4
[CE:info] Connected to qp qp-1-for-5 with rights 15
[CE:info] Connected to qp qp-2-for-5 with rights 15
[CE:info] Connected to qp qp-3-for-5 with rights 15
[CE:info] Connected to qp qp-4-for-5 with rights 15
[CE:info] Unpublishing qp qp-5-for-1
[CE:info] Unpublishing qp qp-5-for-2
[CE:info] Unpublishing qp qp-5-for-3
[CE:info] Unpublishing qp qp-5-for-4
Configuring Client 5
Querying YCSB for the list of operations... Done. Packed 1000000 operations: 949958 read, 50042 update, 0 scan, 0 insert.
Waiting for the initialization of other clients... Done.
Running the benchmark (YCSB Swarm Engine)... 
Done. Results:

################ Cache:
consulted:               yes
heads bootstrapped:      yes
levels:                  4
node capacity:           16
offset hint:             0.931 hit rate (241677 hit / 17789 miss)
nodes allocated:         604 of 262144
vectors allocated:       11327 of 500000
level 0: 2196 nodes, 31 orphans, 13138 entries
level 1: 343 nodes, 65 orphans, 2165 entries
level 2: 44 nodes, 9 orphans, 278 entries
level 3: 4 nodes, 2 orphans, 35 entries

################ Counters:
rdma_reads:              0
rdma_cas_attempts:       0
rdma_cas_failures:       0
gets_with_writeback:     0
gets_without_writeback:  0
put_retries:             0

################ Main stats:
######## GET stats:
Number of measurements: 95028.
Average latency: 4.365us.
0.1%: 2.800us.
1%: 2.840us.
2%: 2.850us.
3%: 2.870us.
4%: 2.890us.
5%: 2.910us.
6%: 2.930us.
7%: 2.970us.
8%: 3.000us.
9%: 3.050us.
10%: 3.080us.
11%: 3.090us.
12%: 3.110us.
13%: 3.120us.
14%: 3.130us.
15%: 3.140us.
16%: 3.150us.
17%: 3.160us.
18%: 3.160us.
19%: 3.170us.
20%: 3.180us.
21%: 3.190us.
22%: 3.200us.
23%: 3.210us.
24%: 3.210us.
25%: 3.220us.
26%: 3.230us.
27%: 3.240us.
28%: 3.250us.
29%: 3.260us.
30%: 3.270us.
31%: 3.280us.
32%: 3.280us.
33%: 3.290us.
34%: 3.290us.
35%: 3.300us.
36%: 3.310us.
37%: 3.320us.
38%: 3.320us.
39%: 3.320us.
40%: 3.330us.
41%: 3.330us.
42%: 3.340us.
43%: 3.340us.
44%: 3.350us.
45%: 3.350us.
46%: 3.360us.
47%: 3.360us.
48%: 3.370us.
49%: 3.370us.
50%: 3.370us.
51%: 3.380us.
52%: 3.380us.
53%: 3.390us.
54%: 3.390us.
55%: 3.400us.
56%: 3.400us.
57%: 3.410us.
58%: 3.410us.
59%: 3.420us.
60%: 3.430us.
61%: 3.440us.
62%: 3.440us.
63%: 3.450us.
64%: 3.460us.
65%: 3.470us.
66%: 3.480us.
67%: 3.490us.
68%: 3.510us.
69%: 3.520us.
70%: 3.540us.
71%: 3.560us.
72%: 3.570us.
73%: 3.590us.
74%: 3.600us.
75%: 3.620us.
76%: 3.640us.
77%: 3.650us.
78%: 3.670us.
79%: 3.690us.
80%: 3.710us.
81%: 3.740us.
82%: 3.780us.
83%: 3.840us.
84%: 3.920us.
85%: 4.040us.
86%: 4.130us.
87%: 4.360us.
88%: 5.040us.
89%: 5.220us.
90%: 5.390us.
91%: 5.490us.
92%: 5.590us.
93%: 5.660us.
94%: 5.750us.
95%: 5.890us.
96%: 6.260us.
97%: 21.800us.
98%: 25.700us.
99%: 29.800us.
99.9%: 37.600us.
######## PUT stats:
Number of measurements: 4972.
Average latency: 13.169us.
0.1%: 6.790us.
1%: 7.130us.
2%: 7.220us.
3%: 7.270us.
4%: 7.300us.
5%: 7.340us.
6%: 7.380us.
7%: 7.420us.
8%: 7.440us.
9%: 7.460us.
10%: 7.490us.
11%: 7.510us.
12%: 7.530us.
13%: 7.550us.
14%: 7.570us.
15%: 7.580us.
16%: 7.600us.
17%: 7.610us.
18%: 7.630us.
19%: 7.640us.
20%: 7.660us.
21%: 7.680us.
22%: 7.690us.
23%: 7.700us.
24%: 7.720us.
25%: 7.730us.
26%: 7.740us.
27%: 7.760us.
28%: 7.770us.
29%: 7.780us.
30%: 7.800us.
31%: 7.810us.
32%: 7.820us.
33%: 7.840us.
34%: 7.850us.
35%: 7.870us.
36%: 7.880us.
37%: 7.890us.
38%: 7.900us.
39%: 7.920us.
40%: 7.930us.
41%: 7.940us.
42%: 7.950us.
43%: 7.960us.
44%: 7.970us.
45%: 7.980us.
46%: 8.000us.
47%: 8.010us.
48%: 8.020us.
49%: 8.040us.
50%: 8.050us.
51%: 8.060us.
